ID	TRAD	SIMP	IPA	JYUTPING	EXPL	NOTE	LEVEL
205	伺	伺	tʃʰi55	ci3	伺候，伺機		1
206	似	似	tʃi24	zi5		(又)	1
207	似	似	tʃʰi24	ci5			1
208	佃	佃	tin22	din6	佃戶		1
209	佃	佃	tin21	din4	佃作		1
210	但	但	tan22	daan6			1
211	位	位	wɐi22	wai6			1
212	低	低	tɐi53	dai1			1
213	住	住	tʃy22	zyu6			1
214	佐	佐	tʃo33	zo2			1
215	佑	佑	jɐu22	jau6			1
216	体	体	tʰɐi33	tai2			1
217	體	体	tʰɐi33	tai2			1
218	何	何	ho21	ho4			1
219	余	余	jy21	jyu4	姓；我		1
220	餘	余	jy21	jyu4	剩餘		1
221	佛	佛	fɐt2	fat6	佛教		1
222	佛	佛	fɐt3	fat2	仿佛		1
223	彿	佛	fɐt2	fat6			1
224	作	作	tʃak3	zaak2			1
225	你	你	ni24	ni5			1
226	佣	佣	jœŋ22	joeng6			1
227	傭	佣	jœŋ21	joeng4	傭工		1
228	佩	佩	pʰui55	pui3			1
229	佳	佳	kai53	gaai1			1
230	使	使	ʃi33	si2	致使	(書)	1
231	使	使	ʃɐi33	sai2	使用	(習)	1
232	使	使	ʃi55	si3	使者		1
233	侄	侄	tʃɐt2	zat6			1
234	姪	侄	tʃɐt2	zat6			1
235	侈	侈	tʃʰi33	ci2			1
236	例	例	lɐi22	lai6			1
237	侍	侍	ʃi22	si6			1
238	供	供	kœŋ53	goeng1	供應		1
239	供	供	kœŋ55	goeng3	供奉		1
240	依	依	ji53	ji1			1
241	俠	侠	hap2	haap6			1
242	侶	侣	ly24	lyu5			1
243	僥	侥	kiu33	giu2		(又)	1
244	僥	侥	hiu24	hiu5	僥倖		1
245	偵	侦	tʃeŋ53	zing1			1
246	側	侧	tʃʰɐk3	cak2			1
247	僑	侨	kiu21	giu4			1
248	侮	侮	fu24	fu5		(老派)	1
249	侮	侮	mu24	mu5			1
250	侯	侯	hɐu21	hau4			1
251	侵	侵	tʃʰɐm53	cam1			1
252	便	便	pin22	bin6	方便		1
253	便	便	pin21	bin4	便宜		1
254	促	促	tʃʰœk3	coek2			1
255	俄	俄	ŋo21	ngo4			1
256	俊	俊	tʃɐn55	zan3			1
257	儁	俊	tʃɐn55	zan3			1
258	俏	俏	tʃʰiu55	ciu3			1
259	俐	俐	li22	li6			1
260	俗	俗	ɬœk2	sloek6			1
261	俘	俘	fu53	fu1			1
262	保	保	pau33	baau2			1
263	信	信	ɬɐn55	slan3			1
264	倆	俩	liɐŋ24	liang5			1
265	儉	俭	kim22	gim6			1
266	修	修	ɬɐu53	slau1			1
