ID	TRAD	SIMP	IPA	JYUTPING	EXPL	NOTE	LEVEL
5809	撏	挦	tʃim21	zim4	拔、抽，又作撍字		2
5810	挲	挲	ʃa53	saa1	挓挲		2
5811	挲	挲	ɬo53	slo1	摩挲		2
5812	挹	挹	jɐp3	jap2			2
5813	捃	捃	kʷɐn55	gwan3		(又)	2
5814	捃	捃	kʷʰɐn33	kwan2			2
5815	捋	捋	lot5	lot3	滑落；滑～～，又作䟹字	(語)	2
5816	捋	捋	lut24	lut5			2
5817	捩	捩	lɐi24	lai5	扭轉，～着腳，崴腳，又作攦字	(語)	2
5818	捩	捩	lɐi22	lai6	琵琶撥法		2
5819	捩	捩	lit2	lit6	轉捩點		2
5820	捭	捭	pai33	baai2			2
5821	捯	捯	tau55	daau3			2
5822	捽	捽	tʃɐt3	zat2	拭，同揤字		2
5823	捽	捽	tʃɐt2	zat6	揪		2
5824	掇	掇	tut3	dut2		(又)	2
5825	掇	掇	tʃyt3	zyut2			2
5826	掊	掊	pʰɐu33	pau2	擊		2
5827	掊	掊	pɐu21	bau4	聚斂		2
5828	掖	掖	jek24	jik5			2
5829	掣	掣	tʃʰit3	cit2	風馳電掣	(又)	2
5830	掣	掣	tʃʰyt3	cyut2	風馳電掣	(又)	2
5831	掣	掣	tʃi55	zi3	掣肘；風馳電掣；<語>開關		2
5832	掬	掬	kœk3	goek2			2
5833	掮	掮	kin21	gin4			2
5834	擄	掳	lu24	lu5			2
5835	摑	掴	kʷak3	gwaak2			2
5836	撣	掸	tan33	daan2			2
5837	摜	掼	kʷʰaŋ33	kwaang2	扔	(語)	2
5838	摜	掼	kʷan55	gwaan3			2
5839	掾	掾	jyn22	jyun6			2
5840	揄	揄	jy21	jyu4			2
5841	揆	揆	kʷɐi24	gwai5			2
5842	揖	揖	jɐp3	jap2			2
5843	揠	揠	∅at3	aat2			2
5844	揳	揳	ɬit3	slit2	塞		2
5845	揶	揶	je21	je4			2
5846	揸	揸	ȵa53	njaa1		(白)	2
5847	揸	揸	tʃa53	zaa1	握、拿，本字𠭯		2
5848	摣	揸	ȵa53	njaa1		(白)	2
5849	摣	揸	tʃa53	zaa1			2
5850	撳	揿	kɐm22	gam6	按，本字𠢱		2
5851	搋	搋	tʃʰai53	caai1	搓揉		2
5852	搐	搐	tʃʰœk3	coek2			2
5853	搛	搛	kim53	gim1			2
5854	搠	搠	ɬak3	slaak2		(又)	2
5855	搠	搠	ʃok3	suk2			2
5856	搡	搡	ɬaŋ33	slaang2			2
5857	搦	搦	nek3	nik2	拿，與擰對轉		2
5858	搪	搪	taŋ21	daang4			2
5859	搴	搴	hin53	hin1		(又)	2
5860	搴	搴	hyn53	hyun1			2
5861	搽	搽	tʃa21	zaa4			2
5862	摁	摁	∅an55	aan3			2
5863	攄	摅	ʃy53	syu1			2
5864	擯	摈	pɐn55	ban3			2
5865	摒	摒	peŋ55	bing3			2
5866	摞	摞	la24	laa5		(白)	2
5867	摞	摞	lo22	lo6			2
5868	摭	摭	tʃek3	zik2			2
5869	摽	摽	pʰɛu33	peu2	古壯字，清除	(語)	2
5870	摽	摽	piu53	biu1	揮去；拋棄		2
5871	摽	摽	piu24	biu5	落下；緊捆綁		2
5872	摽	摽	pʰiu53	piu1	擊		2
5873	撂	撂	liu53	liu1	放下		2
5874	撂	撂	liɐk24	liak5	掠取，本字㨼		2
5875	攖	撄	∅eŋ53	ing1			2
5876	撅	撅	kʰyt3	kyut2			2
5877	撙	撙	tʃun33	zun2			2
5878	擷	撷	kʰyt3	kyut2		(又)	2
5879	擷	撷	kʰit3	kit2			2
5880	擼	撸	lu24	lu5			2
5881	攛	撺	tʃʰun55	cun3			2
5882	擀	擀	kan33	gaan2			2
5883	擘	擘	mɐk3	mak2	用指甲擇菜	(又)	2
5884	擘	擘	mek3	mik2	用指甲掐	(又)	2
5885	擘	擘	mak3	maak2	掰，與掹/擝/繃/絣對轉		2
5886	擻	擞	ɬɐu33	slau2			2
5887	擢	擢	tʃœk2	zoek6		(又)	2
5888	擢	擢	tʃok2	zuk6			2
5889	擤	擤	ɬɐŋ55	slang3			2
5890	攉	攉	kʰak3	kaak2		(白)	2
5891	攉	攉	kʰok3	kuk2			2
5892	攢	攒	tʃɐn33	zan2		(又)	2
5893	攢	攒	tʃan33	zaan2		(又)	2
5894	攢	攒	tʃon33	zon2	積攢		2
5895	攢	攒	tʃun21	zun4	攢聚		2
5896	攘	攘	ŋiɐŋ22	ngiang6			2
5897	攥	攥	tʃut3	zut2		(又)	2
5898	攥	攥	tʃon22	zon6			2
5899	攫	攫	kʷʰɐk3	kwak2		(又)	2
5900	攫	攫	kʰok3	kuk2			2
5901	攮	攮	naŋ24	naang5			2
5902	攸	攸	jɐu21	jau4			2
5903	敕	敕	tʃʰek3	cik2			2
5904	敖	敖	ŋau21	ngaau4			2
5905	敝	敝	pi22	bi6			2
5906	敫	敫	kiu55	giu3	人名用字		2
5907	敫	敫	kiu33	giu2	光閃耀；姓		2
5908	斐	斐	fi33	fi2			2
5909	斕	斓	lan21	laan4			2
5910	斛	斛	hœk2	hoek6			2
5911	斡	斡	wat3	waat2			2
5912	斫	斫	tʃiɐk3	ziak2			2
5913	斲	斫	tiɐk3	diak2	剁		2
5914	旃	旃	tʃyn53	zyun1		(又)	2
5915	旃	旃	tʃin53	zin1			2
5916	旄	旄	mau21	maau4	幢；旄牛		2
5917	旄	旄	mau22	maau6	同耄字		2
5918	旆	旆	pʰui55	pui3			2
5919	旌	旌	tʃeŋ53	zing1			2
5920	旎	旎	nɐi24	nai5			2
5921	旒	旒	lɐu21	lau4			2
5922	旖	旖	ji33	ji2			2
5923	旮	旮	kʰa55	kaa3			2
5924	旯	旯	la55	laa3			2
5925	旰	旰	kan55	gaan3	宵衣旰食		2
5926	旰	旰	han22	haan6	皓皓旰旰		2
5927	暘	旸	jiɐŋ21	jiang4			2
5928	旻	旻	fɐn21	fan4		(老派)	2
5929	旻	旻	mɐn21	man4			2
5930	昀	昀	wɐn21	wan4			2
5931	昃	昃	tʃɐk3	zak2			2
5932	昉	昉	foŋ33	fung2			2
5933	昊	昊	hau22	haau6			2
5934	昕	昕	hɐn53	han1			2
5935	曇	昙	tam21	daam4			2
5936	昝	昝	tʃan33	zaan2	同咱字		2
5937	昝	昝	tʃam33	zaam2	姓		2
5938	昱	昱	ȵœk24	njoek5			2
5939	昴	昴	mau24	maau5			2
5940	昵	昵	nek24	nik5			2
5941	昶	昶	tʃʰaŋ33	caang2			2
5942	晁	晁	tʃiu21	ziu4			2
5943	晏	晏	∅an55	aan3			2
5944	晗	晗	ham21	haam4			2
5945	晞	晞	hi53	hi1			2
5946	晟	晟	ʃeŋ21	sing4			2
5947	晡	晡	pu53	bu1			2
5948	晤	晤	ŋu22	ngu6		(老派)	2
5949	晤	晤	ŋ̍22	ng6			2
5950	晷	晷	kʷɐi33	gwai2			2
5951	暄	暄	hyn53	hyun1			2
5952	暌	暌	kʷɐi21	gwai4			2
5953	暝	暝	meŋ21	ming4			2
5954	曖	暧	∅ai55	aai3			2
5955	暨	暨	ki55	gi3			2
5956	暹	暹	tʃʰim55	cim3			2
5957	暾	暾	tʰɐn53	tan1			2
5958	曛	曛	wɐn53	wan1			2
5959	曜	曜	jiu22	jiu6			2
5960	曦	曦	hi53	hi1			2
5961	曩	曩	naŋ24	naang5			2
5962	曳	曳	jɛt3	jet2	搖～，搖蕩	(語)	2
5963	曳	曳	jɐi22	jai6			2
5964	曷	曷	hat3	haat2			2
5965	朐	朐	ky21	gyu4			2
5966	朔	朔	ɬak3	slaak2		(又)	2
5967	朔	朔	ʃok3	suk2			2
5968	朕	朕	tʃɐm22	zam6			2
5969	札	札	tʃat3	zaat2			2
5970	杈	杈	tʃʰa53	caa1			2
5971	杌	杌	ŋɐt2	ngat6			2
5972	杓	杓	ʃiɐk2	siak6		(又)	2
5973	杓	杓	piu53	biu1	勺子柄		2
5974	杓	杓	tʃiɐk3	ziak2	杯杓		2
5975	杞	杞	ki33	gi2			2
5976	杪	杪	miu24	miu5			2
5977	杲	杲	kau33	gaau2			2
5978	杳	杳	miu24	miu5			2
5979	杵	杵	tʃʰy33	cyu2			2
5980	杷	杷	pa21	baa4			2
5981	杻	杻	tʃʰɐu33	cau2	古刑具，似手銬		2
5982	杻	杻	nɐu33	nau2	木名		2
5983	杼	杼	tʃy24	zyu5			2
5984	枇	枇	pi21	bi4			2
5985	枋	枋	foŋ53	fung1			2
5986	樅	枞	tʃʰœŋ53	coeng1	冷杉		2
5987	樅	枞	tʃœŋ53	zoeng1	樅陽		2
5988	櫪	枥	lek24	lik5			2
5989	梘	枧	kan33	gaan2		(文)	2
5990	梘	枧	kɛn33	gen2	肥皂	(白)	2
5991	棖	枨	tʃiɐŋ21	ziang4			2
5992	梟	枭	hiu53	hiu1			2
5993	枰	枰	peŋ21	bing4			2
5994	枳	枳	tʃɐt3	zat2		(又)	2
5995	枳	枳	tʃi33	zi2			2
5996	枵	枵	hiu53	hiu1			2
5997	枷	枷	ka53	gaa1			2
5998	枸	枸	kɐu33	gau2			2
5999	柁	柁	tai24	daai5		(白)	2
6000	柁	柁	ta24	daa5		(白)	2
6001	柁	柁	to22	do6			2
6002	柈	柈	pun21	bun4	同槃/盤字		2
6003	柈	柈	pun22	bun6	大塊的劈柴		2
6004	柘	柘	tʃe55	ze3			2
6005	柙	柙	kap3	gaap2	木名		2
6006	柙	柙	hap2	haap6	藏獸檻		2
6007	柚	柚	jɐu22	jau6			2
6008	柝	柝	tʰak3	taak2			2
6009	柞	柞	tʃak2	zaak6			2
6010	柢	柢	tɐi33	dai2			2
6011	柩	柩	kɐu22	gau6			2
6012	柯	柯	kʰo53	ko1			2
6013	柰	柰	nai22	naai6			2
6014	檉	柽	tʃʰeŋ53	cing1			2
6015	梔	栀	tʃi53	zi1			2
6016	櫛	栉	tʃit3	zit2			2
6017	櫳	栊	lœŋ21	loeng4			2
6018	櫨	栌	lu21	lu4			2
6019	櫟	栎	jiɐk24	jiak5	櫟陽		2
6020	櫟	栎	lek24	lik5	木名		2
6021	栝	栝	tʰim33	tim2	撥火棍；木杖		2
6022	栝	栝	kʷat3	gwaat2	櫽		2
6023	栟	栟	pɐn53	ban1	栟茶		2
6024	栟	栟	peŋ53	bing1	栟柑，栟櫚		2
6025	栩	栩	hy33	hyu2			2
6026	栲	栲	kʰau33	kaau2			2
6027	栳	栳	lau24	laau5			2
6028	欒	栾	lun21	lun4			2
6029	桀	桀	kit2	git6		(又)	2
6030	桀	桀	kyt2	gyut6			2
6031	桁	桁	haŋ21	haang4	刑具		2
6032	桁	桁	hɐŋ21	hang4	桁條		2
6033	桁	桁	haŋ22	haang6	衣架		2
6034	桅	桅	wɐi21	wai4			2
6035	桉	桉	∅an53	aan1	桉樹		2
6036	桉	桉	∅an55	aan3	同案字		2
6037	桎	桎	tʃɐt2	zat6			2
6038	桓	桓	wun21	wun4			2
6039	桕	桕	kɐu24	gau5			2
6040	橈	桡	jiu21	jiu4	船槳		2
6041	橈	桡	nau21	naau4	曲折，曲木		2
6042	楨	桢	tʃeŋ53	zing1			2
6043	榿	桤	kʰi53	ki1		(又)	2
6044	榿	桤	hi53	hi1			2
6045	檜	桧	kʷʰɐi55	kwai3			2
6046	桫	桫	ɬo53	slo1			2
6047	桴	桴	fu53	fu1			2
6048	桷	桷	kak3	gaak2			2
6049	梃	梃	teŋ24	ding5			2
6050	梏	梏	kœk3	goek2			2
6051	梓	梓	tʃi33	zi2			2
6052	梵	梵	fan22	faan6			2
6053	槤	梿	lin21	lin4			2
6054	梲	棁	tʃyt3	zyut2	梁上的短柱		2
6055	梲	棁	tʰut3	tut2	杖		2
6056	棁	棁	tʃyt3	zyut2	梁上的短柱		2
6057	棁	棁	tʰut3	tut2	棁杖		2
6058	欞	棂	leŋ21	ling4			2
6059	棣	棣	tɐi22	dai6			2
6060	棰	棰	tʃui21	zui4			2
6061	棹	棹	tʃau22	zaau6			2
6062	櫂	棹	tʃau22	zaau6			2
6063	棻	棻	fɐn53	fan1			2
6064	棼	棼	fɐn53	fan1	棼棼		2
6065	棼	棼	fɐn21	fan4	紛亂		2
6066	槨	椁	kʰok3	kuk2			2
6067	椋	椋	liɐŋ21	liang4			2
6068	椐	椐	ky53	gyu1			2
6069	櫝	椟	tœk2	doek6			2
6070	槧	椠	tʃʰim55	cim3			2
6071	欏	椤	lo21	lo4			2
6072	椪	椪	pʰœŋ55	poeng3			2
6073	椴	椴	tun22	dun6			2
6074	椽	椽	jyn21	jyun4		(又)	2
6075	椽	椽	tʃyn21	zyun4			2
6076	楂	楂	tʃa53	zaa1			2
6077	楔	楔	ɬit3	slit2			2
6078	楝	楝	lin22	lin6			2
6079	楠	楠	nam21	naam4			2
6080	楣	楣	mi21	mi4			2
6081	楦	楦	hyn55	hyun3			2
6082	楫	楫	tʃip3	zip2	舟楫	(又)	2
6083	楫	楫	tʃʰɐp3	cap2	舟楫，讀同咠；同輯字，聚集		2
6084	楮	楮	tʃy24	zyu5			2
6085	楯	楯	tɐn22	dan6	同盾字		2
6086	楯	楯	ʃɐn24	san5	欄杆		2
6087	楸	楸	tʃʰɐu53	cau1			2
6088	楹	楹	ŋeŋ21	nging4			2
6089	櫚	榈	ly24	lyu5			2
6090	櫸	榉	ky33	gyu2			2
6091	榖	榖	kœk3	goek2			2
6092	榛	榛	tʃɐn53	zan1			2
6093	榧	榧	fi33	fi2			2
6094	榫	榫	ɬɐn33	slan2			2
6095	榭	榭	tʃe22	ze6			2
6096	榱	榱	tʃʰui53	cui1			2
6097	榷	榷	kʰak3	kaak2			2
6098	榻	榻	tʰap3	taap2			2
6099	槁	槁	kau33	gaau2			2
6100	槊	槊	ɬak3	slaak2		(又)	2
6101	槊	槊	ʃok3	suk2			2
6102	槌	槌	tʃui21	zui4			2
6103	槎	槎	tʃa21	zaa4			2
6104	槔	槔	kau53	gaau1			2
6105	檳	槟	pɐn53	ban1			2
6106	櫧	槠	tʃy53	zyu1			2
6107	槭	槭	ɬek3	slik2	槭槭	(又)	2
6108	槭	槭	ɬɐk3	slak2	槭槭	(又)	2
6109	槭	槭	tʃʰek3	cik2	槭樹		2
6110	槭	槭	ʃiɐk3	siak2	槭槭，落葉聲，又作瑟瑟/摵摵		2
6111	槲	槲	hœk2	hoek6			2
6112	槿	槿	kɐn33	gan2			2
6113	樊	樊	fan21	faan4			2
6114	樗	樗	ʃy53	syu1			2
6115	樘	樘	taŋ21	daang4			2
6116	樨	樨	ɬɐi53	slai1			2
6117	檣	樯	tʃiɐŋ21	ziang4			2
6118	樵	樵	tʃiu21	ziu4			2
6119	樽	樽	tʃɐn53	zan1			2
6120	罇	樽	tʃɐn53	zan1	同樽字		2
6121	樾	樾	jyt24	jyut5			2
6122	橇	橇	kiu53	giu1		(又)	2
6123	橇	橇	hɛu53	heu1			2
6124	橐	橐	tʰak3	taak2			2
6125	橛	橛	kʰɐt5	kat3	量詞，截	(語)	2
6126	橛	橛	kʰɛt5	ket3		(又)	2
6127	橛	橛	kʰyt3	kyut2	木橛		2
6128	橛	橛	kyt2	gyut6	量詞，截		2
6129	櫓	橹	lu24	lu5			2
6130	櫞	橼	jyn21	jyun4			2
6131	檄	檄	hɐt2	hat6			2
6132	檎	檎	kɐm21	gam4			2
6133	檗	檗	piɐk3	biak2		(又)	2
6134	檗	檗	pʰiɐk3	piak2			2
6135	檠	檠	keŋ21	ging4			2
6136	檁	檩	lɐm24	lam5			2
6137	歟	欤	jy21	jyu4			2
6138	欸	欸	∅ɐi53	ai1	表招呼	(又)	2
6139	欸	欸	∅ɐi24	ai5	表詫異	(又)	2
6140	欸	欸	∅e53	e1	表驚異	(又)	2
6141	欸	欸	∅ai33	aai2	欸乃		2
6142	欸	欸	∅ai53	aai1	歎也		2
6143	欸	欸	∅e22	e6	嘆詞		2
6144	歃	歃	ɬap3	slaap2			2
6145	歆	歆	hɐm53	ham1			2
6146	歙	歙	ʃip3	sip2	歙縣		2
6147	歙	歙	kʰɐp3	kap2	同吸字		2
6148	歿	殁	mɐt3	mat2	發～，發黴，又作沫字	(語)	2
6149	歿	殁	mut24	mut5			2
6150	殂	殂	tʃu21	zu4			2
6151	殄	殄	tin24	din5			2
6152	殆	殆	tai22	daai6			2
6153	殤	殇	ʃiɐŋ53	siang1			2
6154	殍	殍	piu24	biu5			2
6155	殞	殒	wɐn24	wan5			2
6156	殮	殓	lim24	lim5			2
6157	殫	殚	tan53	daan1			2
6158	殛	殛	kek3	gik2			2
6159	殯	殡	pɐn53	ban1		(又)	2
6160	殯	殡	pɐn55	ban3			2
6161	殪	殪	ji55	ji3			2
6162	轂	毂	kœk3	goek2			2
6163	毋	毋	fu21	fu4		(老派)	2
6164	毋	毋	mu21	mu4			2
6165	毓	毓	ȵœk24	njoek5			2
6166	毖	毖	pi55	bi3			2
6167	毗	毗	pi21	bi4			2
6168	毪	毪	mɐu21	mau4			2
6169	毳	毳	tʃʰui55	cui3			2
6170	毹	毹	ʃy53	syu1		(又)	2
6171	毹	毹	jy21	jyu4			2
6172	毽	毽	kin55	gin3		(書)	2
6173	毽	毽	jyn55	jyun3	本字燕	(習)	2
6174	氅	氅	tʃʰaŋ33	caang2			2
6175	氆	氆	pʰu33	pu2			2
6176	氌	氇	lu24	lu5			2
6177	氍	氍	ky21	gyu4			2
6178	氐	氐	tɐi53	dai1	古民族名；二十八宿之一		2
6179	氐	氐	tɐi33	dai2	根本		2
6180	氖	氖	nai24	naai5			2
6181	氘	氘	tau53	daau1			2
6182	氙	氙	ɬin53	slin1			2
6183	氚	氚	tʃʰyn53	cyun1			2
6184	氟	氟	fɐt3	fat2			2
6185	氡	氡	tœŋ53	doeng1			2
6186	氤	氤	∅ɐn53	an1			2
6187	氦	氦	hai22	haai6			2
6188	氬	氩	∅a55	aa3			2
6189	氪	氪	kʰɐk3	kak2			2
6190	氰	氰	tʃʰeŋ53	cing1			2
6191	氲	氲	wɐn53	wan1			2
6192	氳	氲	wɐn53	wan1			2
6193	汀	汀	tʰeŋ53	ting1			2
6194	汆	汆	tʃʰon53	con1			2
6195	汊	汊	tʃʰa55	caa3			2
6196	汐	汐	tʃek2	zik6			2
6197	汔	汔	hɐt3	hat2		(又)	2
6198	汔	汔	ŋɐt2	ngat6			2
6199	汕	汕	ʃan55	saan3			2
6200	汜	汜	tʃi24	zi5		(又)	2
6201	汜	汜	tʃʰi24	ci5			2
6202	汨	汨	mek24	mik5			2
6203	汩	汩	kʷɐt3	gwat2			2
6204	汲	汲	kʰɐp3	kap2			2
6205	汴	汴	pin22	bin6			2
6206	汶	汶	mɐn55	man3	泉水，又作呇/𣴞字	(語)	2
6207	汶	汶	mɐn22	man6	汶川		2
6208	汾	汾	fɐn21	fan4			2
6209	沂	沂	ji21	ji4			2
6210	沅	沅	jyn21	jyun4			2
6211	沆	沆	haŋ21	haang4			2
6212	沌	沌	tɐn22	dan6			2
6213	沏	沏	tʃʰɐi55	cai3	沏茶		2
6214	沏	沏	tʃʰit3	cit2	水聲		2
6215	沓	沓	tap2	daap6			2
6216	沔	沔	min24	min5			2
6217	沚	沚	tʃi33	zi2			2
6218	灃	沣	fœŋ53	foeng1			2
6219	漚	沤	∅ɐu55	au3			2
6220	渢	沨	fœŋ53	foeng1		(又)	2
6221	渢	沨	pɐm21	bam4	象聲詞，獅子鼓響～～	(語)	2
6222	渢	沨	pɐm24	bam5	象聲詞，打水聲，或作𣴞/湓字	(語)	2
6223	渢	沨	fœŋ21	foeng4			2
6224	溈	沩	kʷɐi53	gwai1			2
6225	潙	沩	kʷɐi53	gwai1			2
6226	沭	沭	ɬɐt2	slat6			2
6227	沱	沱	to21	do4			2
6228	泅	泅	tʃɐu21	zau4			2
6229	泐	泐	lɐk24	lak5			2
6230	泓	泓	hœŋ21	hoeng4			2
6231	泔	泔	kam53	gaam1			2
6232	泖	泖	mau24	maau5			2
6233	泗	泗	ʃi55	si3			2
6234	泠	泠	leŋ21	ling4			2
6235	泫	泫	jyn24	jyun5			2
6236	泮	泮	pʰun55	pun3	泮宮		2
6237	泮	泮	pun22	bun6	同畔字		2
6238	泯	泯	mɐn24	man5			2
6239	泱	泱	jiɐŋ53	jiang1			2
6240	瀧	泷	ʃoŋ53	sung1	瀧水，瀧岡		2
6241	瀧	泷	lœŋ21	loeng4	急流的水		2
6242	瀘	泸	lu21	lu4			2
6243	濼	泺	lak24	laak5	濼水		2
6244	濼	泺	pok2	buk6	同泊字		2
6245	濼	泺	lek24	lik5	蕨科植物		2
6246	涇	泾	keŋ53	ging1			2
6247	洄	洄	wɐi21	wai4			2
6248	洇	洇	∅ɐn53	an1			2
6249	洌	洌	lyt24	lyut5		(又)	2
6250	洌	洌	lit2	lit6			2
6251	洎	洎	ki55	gi3			2
6252	洙	洙	tʃy53	zyu1			2
6253	洧	洧	hui33	hui2			2
6254	洫	洫	kʷek3	gwik2			2
6255	洮	洮	jiu21	jiu4	湖名		2
6256	洮	洮	tau21	daau4	盥洗		2
6257	洱	洱	ȵi24	nji5			2
6258	洳	洳	jy22	jyu6			2
6259	洵	洵	ɬɐn21	slan4			2
6260	洹	洹	jyn21	jyun4		(又)	2
6261	洹	洹	wun21	wun4			2
6262	浹	浃	kap3	gaap2	汗流浹背	(又)	2
6263	浹	浃	tʃip3	zip2	浹洽，汗流浹背		2
6264	澮	浍	kʷʰɐi55	kwai3			2
6265	滸	浒	hu33	hu2			2
6266	潯	浔	tʃɐm21	zam4			2
6267	濜	浕	tʃɐn22	zan6			2
6268	浚	浚	tʃɐn55	zan3	疏通		2
6269	浚	浚	ɬɐn55	slan3	浚縣		2
6270	浜	浜	paŋ53	baang1	小河		2
6271	浜	浜	paŋ53	baang1	小河		2
6272	浜	浜	pɐn53	ban1	同濱字		2
6273	浞	浞	tʃʰok3	cuk2		(又)	2
6274	浞	浞	tʃok2	zuk6			2
6275	浠	浠	hi53	hi1			2
6276	浣	浣	wun24	wun5			2
6277	浥	浥	∅ɐp3	ap2	合在一起漚	(語)	2
6278	浥	浥	jɐp3	jap2			2
6279	浯	浯	ŋu21	ngu4		(老派)	2
6280	浯	浯	ŋ̍21	ng4			2
6281	涅	涅	nit24	nit5		(又)	2
6282	涅	涅	nip24	nip5			2
6283	涎	涎	jyn21	jyun4		(又)	2
6284	涎	涎	ʃan21	saan4	唾液，又作漦/潺字	(語)	2
6285	涎	涎	hin21	hin4			2
6286	涑	涑	tʃʰœk3	coek2			2
6287	涓	涓	kyn53	gyun1			2
6288	涔	涔	kɐm21	gam4		(又)	2
6289	涔	涔	tʃɐm21	zam4			2
6290	淶	涞	lai21	laai4			2
6291	漣	涟	lin21	lin4			2
6292	潿	涠	wɐi21	wai4			2
6293	涪	涪	fɐu21	fau4			2
6294	涫	涫	kun55	gun3			2
6295	涸	涸	kʰak3	kaak2			2
6296	涿	涿	tʃœk3	zoek2		(又)	2
6297	涿	涿	tʃok3	zuk2		(又)	2
6298	涿	涿	tœk3	doek2	水滴；<語>量詞		2
6299	淄	淄	tʃi53	zi1			2
6300	淅	淅	ɬek3	slik2			2
6301	淇	淇	ki21	gi4			2
6302	淖	淖	nau22	naau6	泥淖		2
6303	淖	淖	tʃʰiɐk3	ciak2	同綽字		2
6304	淙	淙	tʃœŋ21	zoeng4		(書)	2
6305	淙	淙	tʃœŋ53	zoeng1		(習)	2
6306	淝	淝	fi21	fi4			2
6307	淞	淞	ɬœŋ53	sloeng1			2
6308	淠	淠	pʰi55	pi3	淠河		2
6309	淦	淦	kam55	gaam3			2
6310	淬	淬	tʃʰui55	cui3			2
6311	淥	渌	lœk24	loek5	水清；<語>燙，又作熝字		2
6312	漬	渍	tʃek3	zik2	訓讀積/蹟	(訓)	2
6313	瀆	渎	tœk2	doek6			2
6314	澠	渑	min24	min5	澠池縣	(又)	2
6315	澠	渑	mɐn24	man5	澠池縣，在河南		2
6316	澠	渑	ʃeŋ21	sing4	河名，在山東省		2
6317	渚	渚	tʃy33	zyu2			2
6318	渥	渥	∅œk3	oek2			2
6319	渫	渫	ʃap2	saap6	熬、煮，又作煠字	(白)	2
6320	渫	渫	ɬit3	slit2	除去；泄；姓		2
6321	渫	渫	tip2	dip6	渫渫		2
6322	渭	渭	wɐi22	wai6			2
6323	湄	湄	mi21	mi4			2
6324	湉	湉	tim21	dim4			2
6325	湍	湍	tʰun53	tun1			2
6326	湎	湎	min24	min5			2
6327	湔	湔	tʃin53	zin1			2
6328	湛	湛	tʃam55	zaam3			2
6329	湜	湜	tʃek2	zik6			2
6330	湟	湟	hoŋ21	hung4			2
6331	湫	湫	tʃʰɐu53	cau1	水潭		2
6332	湫	湫	tʃiu33	ziu2	低窪		2
6333	湫	湫	tʃɐu53	zau1	湫水河		2
6334	湮	湮	jyn53	jyun1		(又)	2
6335	湮	湮	∅ɐn53	an1			2
6336	湲	湲	jyn21	jyun4			2
6337	漵	溆	tʃy22	zyu6			2
6338	溏	溏	taŋ21	daang4			2
6339	溘	溘	hap2	haap6			2
6340	溟	溟	meŋ21	ming4			2
6341	溥	溥	pʰu33	pu2			2
6342	溧	溧	lɐt24	lat5			2
6343	溱	溱	tʃɐn53	zan1	溱頭河		2
6344	溱	溱	tʃɐn21	zan4	溱潼		2
6345	溲	溲	ʃɐu53	sau1			2
6346	溴	溴	tʃʰɐu55	cau3			2
6347	溷	溷	wɐn22	wan6			2
6348	溻	溻	tʰap3	taap2			2
6349	溽	溽	ȵœk24	njoek5			2
6350	滁	滁	tʃy21	zyu4			2
6351	滂	滂	paŋ21	baang4			2
6352	滃	滃	∅œŋ53	oeng1	滃江		2
6353	滃	滃	∅œŋ33	oeng2	雲氣起；大水貌		2
6354	滏	滏	fu33	fu2			2
6355	滓	滓	tʃai33	zaai2		(又)	2
6356	滓	滓	tʃi33	zi2			2
6357	滕	滕	tɐŋ21	dang4			2
6358	潷	滗	pi55	bi3	擋住渣滓，把液體倒出		2
6359	灩	滟	jyn55	jyun3		(又)	2
6360	灩	滟	jin55	jin3		(又)	2
6361	灩	滟	jim22	jim6			2
6362	瀅	滢	weŋ21	wing4			2
6363	灤	滦	lun21	lun4			2
6364	澦	滪	jy22	jyu6			2
6365	滫	滫	ɬɐu33	slau2			2
6366	滹	滹	hu53	hu1			2
6367	漉	漉	lœk24	loek5			2
6368	漕	漕	tʃau21	zaau4			2
6369	漩	漩	ɬyn21	slyun4			2
6370	漪	漪	ji53	ji1			2
6371	漭	漭	maŋ24	maang5			2
6372	漯	漯	tʰap3	taap2	水名		2
6373	漯	漯	lui24	lui5	同㶟/灅字		2
6374	漯	漯	lu22	lu6	漯河市		2
6375	漳	漳	tʃiɐŋ53	ziang1			2
6376	漶	漶	wan22	waan6			2
6377	瀲	潋	lim24	lim5			2
6378	濰	潍	wɐi21	wai4			2
6379	潞	潞	lu22	lu6			2
6380	潟	潟	ɬek3	slik2			2
6381	潢	潢	hoŋ21	hung4			2
6382	潦	潦	liu21	liu4	潦草		2
6383	潦	潦	lau24	laau5	潦水		2
6384	潲	潲	ʃau55	saau3			2
6385	瀦	潴	tʃy53	zyu1			2
6386	潸	潸	ʃan53	saan1			2
6387	潺	潺	ʃan21	saan4			2
6388	潼	潼	tœŋ21	doeng4			2
6389	澉	澉	kam33	gaam2			2
6390	澌	澌	ɬi53	sli1			2
6391	澍	澍	ʃy22	syu6			2
6392	澥	澥	hai24	haai5			2
6393	澧	澧	lɐi24	lai5			2
6394	澶	澶	tan22	daan6	澶漫		2
6395	澶	澶	ʃin21	sin4	澶淵		2
6396	澹	澹	tam22	daam6			2
6397	濂	濂	lim21	lim4			2
6398	濉	濉	ɬui53	slui1			2
6399	瀨	濑	lai24	laai5	～尿，又作攋/落字	(語)	2
6400	瀨	濑	lai22	laai6			2
6401	濞	濞	pʰi55	pi3			2
